Date,Price,Open,High,Low,Vol.,Change %
01/31/2019,24108.3,24644.1,24644.1,24108.3,852.88K,-0.63%
02/01/2019,24184.8,24070.0,24376.2,24031.8,675.45K,0.32%
02/11/2019,24452.7,24567.5,24682.3,24337.9,794.50K,1.11%
02/12/2019,24835.4,24529.3,25026.7,24529.3,1.76M,1.57%
02/13/2019,24873.7,24911.9,24950.2,24682.3,1.96M,0.15%
02/14/2019,24797.1,24873.7,24911.9,24758.9,1.28M,-0.31%
02/15/2019,25371.1,24758.9,25868.6,24567.5,2.04M,2.31%
02/18/2019,25639.0,25639.0,25792.1,25409.4,1.20M,1.06%
02/19/2019,25179.8,25639.0,25830.3,25179.8,1.44M,-1.79%
02/20/2019,26021.7,25103.3,26710.5,24988.5,2.97M,3.34%
02/21/2019,26213.0,26213.0,26519.1,26021.7,2.71M,0.74%
02/22/2019,26021.7,26174.7,26557.4,26021.7,1.84M,-0.73%
02/25/2019,26021.7,26404.3,26404.3,25792.1,2.12M,0.00%
02/26/2019,25715.5,25792.1,26021.7,25639.0,1.77M,-1.18%
02/27/2019,25715.5,25715.5,25983.4,25639.0,942.09K,0.00%
02/28/2019,24873.7,25715.5,25830.3,24873.7,2.26M,-3.27%
03/01/2019,25141.5,24950.2,25332.9,24950.2,1.45M,1.08%
03/04/2019,25715.5,25332.9,25830.3,25256.3,1.15M,2.28%
03/05/2019,26480.9,25409.4,27016.6,25409.4,5.30M,2.98%
03/06/2019,26595.7,26480.9,26710.5,26327.8,2.01M,0.43%
03/07/2019,26710.5,26787.0,26978.3,26557.4,2.14M,0.43%
03/08/2019,26021.7,26366.1,26557.4,25945.1,2.28M,-2.58%
03/11/2019,25753.8,26098.2,26098.2,25600.7,1.43M,-1.03%
03/12/2019,27169.7,26098.2,27169.7,25868.6,2.13M,5.50%
03/13/2019,27246.2,27016.6,27514.1,26940.1,3.60M,0.28%
03/14/2019,27705.4,27246.2,28088.1,26940.1,3.33M,1.69%
03/15/2019,28470.8,27705.4,28700.4,27475.8,4.00M,2.76%
03/18/2019,28547.3,28470.8,28776.9,28241.2,3.68M,0.27%
03/19/2019,28011.6,28432.5,28547.3,27935.0,3.55M,-1.88%
03/20/2019,27628.9,27667.2,27935.0,27169.7,3.40M,-1.37%
03/21/2019,26633.9,27743.7,28049.8,26633.9,2.82M,-3.60%
03/22/2019,26863.5,27093.2,27322.8,26633.9,2.36M,0.86%
03/25/2019,26404.3,26098.2,26787.0,25639.0,2.63M,-1.71%
03/26/2019,26251.3,26710.5,26863.5,26174.7,1.31M,-0.58%
03/27/2019,26710.5,26672.2,26863.5,26251.3,1.56M,1.75%
03/28/2019,27246.2,26366.1,27437.6,26366.1,2.76M,2.01%
03/29/2019,27399.3,27246.2,27552.4,27246.2,2.08M,0.56%
04/01/2019,27169.7,27399.3,27782.0,27016.6,1.14M,-0.84%
04/02/2019,26633.9,27552.4,27552.4,26633.9,1.83M,-1.97%
04/03/2019,27322.8,26633.9,27628.9,26366.1,2.38M,2.59%
04/04/2019,27016.6,27552.4,27552.4,26901.8,1.33M,-1.12%
